Element,Temperature (K)
H,182
He,3
Li,1142
Be,1452
B,908
C,40
N,123
O,180
F,734
Ne,9.1
Na,958
Mg,1336
Al,1653
Si,1310
P,1229
S,664
Cl,948
Ar,47
K,1006
Ca,1517
Sc,1659
Ti,1582
V,1429
Cr,1296
Mn,1158
Fe,1334
Co,1352
Ni,1353
Cu,1037
Zn,726
Ga,968
Ge,883
As,1065
Se,697
Br,546
Kr,52
Rb,800
Sr,1464
Y,1659
Zr,1741
Nb,1559
Mo,1590
Ru,1551
Rh,1392
Pd,1324
Ag,996
Cd,652
In,536
Sn,704
Sb,979
Te,709
I,535
Xr,68
Cs,799
Ba,1455
La,1578
Ce,1478
Pr,1582
Nd,1602
Sm,1590
Eu,1356
Gd,1659
Tb,1659
Dy,1659
Ho,1659
Er,1659
Tm,1659
Yb,1587
Lu,1659
Hf,1684
Ta,1573
W,1789
Re,1821
Os,1812
Ir,1603
Pt,1408
Au,1060
Hg,252
Tl,532
Pb,727
Bi,746
Th,1659
U,1610